No,Name,Types,LULC,Locality,X,Y,State,District,Year,Source,Evolution of Landslide,Landslide Activity,Soil Texture,Erosion Type,Predominants Soil Constituents,Lithology,Type of Movement,Weathering Grade,Height_m,Width_m,Length_m,Date,Time,Morphology,Vegetation Density,Vegetation Type,Soil Type,Geodynamic Features,Degree of Development,Site Condition,State of Wetness,Source of Water,Area Drainage,Structures at Risk,Corrective Measures,Probable Cause of Landslide
11,Placemark 117,Landslides,Urban,Roadside,771012.9683,487458.6409,Pahang,Cameron Highlands,2022,Field Work (2022),New landslide,Stabilised,Clay loam,Rill,"Clay, Sand",Granite,Translational,VI,20.6,18.9,28,13/07/2022,17:55:20,Concave,Dense,Forest,Residual,"Failures scarp, Erosion",Advance,Under construction,Dry,"Rain, Water seeps",Well drained,Roads,"Soil nail, Shortcrete, Gunite","Steepness of slope, Intense weathering, Human activity, Vibration from the vehicle, Low shear strength, Load at head, Rainfall"
12,Placemark 118,Landslides,Forest,Forest Area,771089.1816,487546.2984,Pahang,Cameron Highlands,2022,Field Work (2022),Young-dormant landslide,Dormant,Unknown,Rill,None,Granite,Translational,V,0,0,0,13/07/2022,18:12:34,Convex,Dense,Forest,Residual,"Failures scarp, Erosion",Advance,Natural,Dry,"Rain, Water seeps",None,Commercial,None,"Steepness of slope, Intense weathering, Human activity, Vibration from the vehicle, Low shear strength, Load at head, Rainfall"
13,Placemark 12,Landslides,Forest,Roadside,762108.3028,493615.0508,Pahang,Cameron Highlands,2022,Field Work (2022),New landslide,Abandoned,Clay loam,Rill,"Clay, Silt",Granite,Fall,VI,0,0,0,05/07/2022,18:36:22,Convex,Dense,Forest,Residual,"Failures scarp, Erosion",Advance,Natural,Dry,"Rain, Water seeps",None,Roads,None,"Steepness of slope, Intense weathering, Human activity, Vibration from the vehicle, Low shear strength, Load at head, Toe cut by stream, Rainfall"
14,Placemark 120,Landslides,Forest,Forest Area,769587.3254,487456.4595,Pahang,Cameron Highlands,2022,Field Work (2022),Young-dormant landslide,Dormant,Unknown,Rill,None,Granite,Translational,VI,0,0,0,13/07/2022,18:44:44,Convex,Dense,Forest,Residual,"Failures scarp, Erosion",Intermediate,Natural,Dry,"Rain, Water seeps",None,Commercial,None,"Steepness of slope, Intense weathering, Human activity, Vibration from the vehicle, Low shear strength, Load at head, Rainfall"
15,Placemark 122,Landslides,Agriculture,Agricultural Area,767363.5606,488327.7163,Pahang,Cameron Highlands,2022,Field Work (2022),Young-dormant landslide,Dormant,Unknown,Rill,None,Granite,Translational,VI,0,0,0,13/07/2022,18:54:31,Concave,Dense,Forest,Residual,"Failures scarp, Erosion",Advance,Natural,Dry,"Rain, Water seeps",None,Commercial,None,"Steepness of slope, Intense weathering, Human activity, Vibration from the vehicle, Low shear strength, Load at head, Rainfall"
16,Placemark 124,Landslides,Urban,Open Area,765517.1261,488735.8987,Pahang,Cameron Highlands,2022,Field Work (2022),Young-dormant landslide,Dormant,Sandy clay,Rill,"Sand, Clay",Granite,Translational,VI,0,0,0,13/07/2022,19:15:57,Convex,Dense,Forest,Residual,"Failures scarp, Erosion",Intermediate,Natural,Dry,"Rain, Water seeps",None,Roads,None,"Steepness of slope, Intense weathering, Human activity, Vibration from the vehicle, Low shear strength, Load at head, Rainfall"
17,Placemark 126,Landslides,Urban,Development Area,764848.4455,489210.9773,Pahang,Cameron Highlands,2022,Field Work (2022),New landslide,Suspended,Clay loam,Rill,"Clay, Sand",Granite,Translational,VI,23.4,22.7,21.1,13/07/2022,19:25:54,Convex,Dense,Forest,Residual,"Failures scarp, Erosion",Advance,Development,Dry,"Rain, Water seeps",None,Commercial,None,"Steepness of slope, Intense weathering, Human activity, Vibration from the vehicle, Low shear strength, Load at head, Rainfall"
18,Placemark 129,Landslides,Forest,Off Road,768699.1809,492036.701,Pahang,Cameron Highlands,2022,Field Work (2022),Young-dormant landslide,Dormant,Sandy clay,Rill,"Sand, Clay",Granite,Translational,VI,2.9,3.3,4.5,14/07/2022,13:53:14,Convex,Dense,Forest,Residual,"Failures scarp, Erosion",Advance,Natural,Dry,"Rain, Water seeps",None,Roads,None,"Steepness of slope, Intense weathering, Human activity, Vibration from the vehicle, Low shear strength, Load at head, Rainfall"
19,Placemark 13,Landslides,Forest,Off Road,761967.1036,493668.223,Pahang,Cameron Highlands,2022,Field Work (2022),New landslide,Suspended,Sandy clay,Rill,"Sand, Clay",Granite,Translational,VI,6.7,30.7,8,07/07/2022,14:22:40,Convex,Dense,Forest,Residual,"Failures scarp, Erosion",Advance,Natural,Dry,"Rain, Water seeps",None,Offroads,Plastic sheet cover,"Steepness of slope, Intense weathering, Human activity, Vibration from the vehicle, Low shear strength, Load at head, Rainfall"
20,Placemark 133,Landslides,Agriculture,Agricultural Area,767454.5774,492402.2261,Pahang,Cameron Highlands,2022,Field Work (2022),New landslide,Suspended,Unknown,Rill,None,Granite,Translational,VI,0,0,0,14/07/2022,14:16:15,Convex,Dense,Forest,Residual,"Failures scarp, Erosion",Advance,Natural,Dry,"Rain, Water seeps",None,Commercial,None,"Steepness of slope, Intense weathering, Human activity, Vibration from the vehicle, Low shear strength, Load at head, Rainfall"
21,Placemark 134,Landslides,Urban,Roadside,767259.5264,492330.3128,Pahang,Cameron Highlands,2022,Field Work (2022),New landslide,Suspended,Clay loam,Rill,"Clay, Sand",Granite,Fall,VI,4.1,4.7,6.3,14/07/2022,14:25:30,Convex,Dense,Forest,Residual,"Failures scarp, Erosion",Advance,Development,Dry,"Rain, Water seeps",Well drained,Commercial,Plastic sheet cover,"Steepness of slope, Intense weathering, Human activity, Vibration from the vehicle, Low shear strength, Load at head, Rainfall"
22,Placemark 135,Landslides,Urban,Roadside,767261.55,492356.0376,Pahang,Cameron Highlands,2022,Field Work (2022),Young-dormant landslide,Suspended,Clay loam,Rill,"Clay, Sand",Granite,Translational,VI,9.4,9.3,13.3,14/07/2022,14:30:45,Convex,Dense,Forest,Residual,"Failures scarp, Erosion",Advance,Development,Dry,"Rain, Water seeps",None,Commercial,"Stone pitch wall, Plastic sheet cover","Steepness of slope, Intense weathering, Human activity, Vibration from the vehicle, Low shear strength, Load at head, Rainfall"
23,Placemark 136,Landslides,Urban,Roadside,767116.3077,492421.5287,Pahang,Cameron Highlands,2022,Field Work (2022),Young-dormant landslide,Suspended,Light clay,Sheet,"Clay, Sand",Granite,Fall,VI,14.1,10.1,17.4,14/07/2022,14:41:30,Convex,Dense,Forest,Residual,"Failures scarp, Erosion",Advance,Development,Dry,"Rain, Water seeps",None,Commercial,None,"Steepness of slope, Intense weathering, Human activity, Vibration from the vehicle, Low shear strength, Load at head, Rainfall"
24,Placemark 139,Landslides,Forest,Roadside,775505.3775,489388.241,Pahang,Cameron Highlands,2022,Field Work (2022),Young-dormant landslide,Dormant,Sandy loam,Rill,"Sand, Clay",Granite,Translational,VI,9.2,9.3,13.2,14/07/2022,15:41:17,Concave,Dense,Forest,Residual,"Failures scarp, Erosion",Advance,Development,Dry,"Rain, Water seeps",None,Roads,None,"Steepness of slope, Intense weathering, Human activity, Vibration from the vehicle, Low shear strength, Load at head, Rainfall"
25,Placemark 14,Landslides,Agriculture,Roadside,761893.278,493376.1312,Pahang,Cameron Highlands,2022,Field Work (2022),Young-dormant landslide,Dormant,Sandy clay,Sheet,"Sand, Clay",Granite,Translational,VI,5.1,10,10.3,07/07/2022,14:35:35,Concave,Dense,Forest,Residual,"Failures scarp, Erosion",Advance,Natural,Dry,"Rain, Water seeps",None,Offroads,Stone pitch wall,"Steepness of slope, Intense weathering, Human activity, Vibration from the vehicle, Low shear strength, Load at head, Rainfall"
26,Placemark 142,Landslides,Forest,Forest Area,778625.5,489018.8687,Pahang,Cameron Highlands,2022,Field Work (2022),Young-dormant landslide,Dormant,Unknown,Rill,None,Granite,Translational,VI,0,0,0,14/07/2022,16:03:39,Convex,Dense,Forest,Residual,"Failures scarp, Erosion",Advance,Natural,Dry,"Rain, Water seeps",None,None,None,"Steepness of slope, Intense weathering, Human activity, Vibration from the vehicle, Low shear strength, Load at head, Rainfall"
27,Placemark 146,Landslides,Urban,Roadside,781665.1373,490099.1316,Pahang,Cameron Highlands,2022,Field Work (2022),Young-dormant landslide,Suspended,Clay loam,Rill,"Clay, Sand",Granite,Rotational,VI,1.6,24.1,24.2,14/07/2022,16:44:01,Convex,Moderate,Forest,Residual,"Failures scarp, Erosion",Advance,Natural,Dry,"Rain, Water seeps",None,Roads,None,"Steepness of slope, Intense weathering, Human activity, Vibration from the vehicle, Low shear strength, Load at head, Rainfall"
28,Placemark 148,Landslides,Agriculture,Agricultural Area,779624.113,489799.853,Pahang,Cameron Highlands,2022,Field Work (2022),Old-dormant landslide,Dormant,Unknown,Rill,None,Granite,Translational,VI,0,0,0,14/07/2022,16:54:31,Convex,Dense,Forest,Residual,"Failures scarp, Erosion",Advance,Natural,Dry,"Rain, Water seeps",None,None,None,"Steepness of slope, Intense weathering, Human activity, Vibration from the vehicle, Low shear strength, Load at head, Rainfall"
29,Placemark 149,Landslides,Urban,Roadside,774412.1247,488874.8339,Pahang,Cameron Highlands,2022,Field Work (2022),Mature-dormant landslide,Dormant,Clay loam,Rill,"Clay, Sand",Granite,Translational,IV,70.5,78.8,105.8,14/07/2022,17:14:46,Convex,Sparse,Forest,Residual,"Failures scarp, Erosion",Advance,Natural,Dry,"Rain, Water seeps",Well drained,Roads,Gabion wall,"Steepness of slope, Intense weathering, Human activity, Vibration from the vehicle, Low shear strength, Load at head, Rainfall"
30,Placemark 151,Landslides,Urban,Roadside,772025.8622,487580.5607,Pahang,Cameron Highlands,2022,Field Work (2022),New landslide,Stabilised,Clay loam,Rill,"Clay, Sand",Granite,Translational,VI,0,0,0,16/07/2022,11:43:55,Concave,Dense,Forest,Residual,"Failures scarp, Erosion",Advance,Natural,Dry,"Rain, Water seeps",None,Commercial,Plastic sheet cover,"Steepness of slope, Intense weathering, Human activity, Vibration from the vehicle, Low shear strength, Load at head, Rainfall"
31,Placemark 152,Landslides,Forest,Forest Area,772138.7326,487671.5116,Pahang,Cameron Highlands,2022,Field Work (2022),Young-dormant landslide,Suspended,Unknown,Rill,None,Granite,Translational,VI,0,0,0,16/07/2022,11:46:50,Convex,Dense,Forest,Residual,"Failures scarp, Erosion",Advance,Natural,Dry,"Rain, Water seeps",None,Commercial,Plastic sheet cover,"Steepness of slope, Intense weathering, Human activity, Vibration from the vehicle, Low shear strength, Load at head, Rainfall"
32,Placemark 154,Landslides,Forest,Forest Area,771570.8295,488238.3004,Pahang,Cameron Highlands,2022,Field Work (2022),New landslide,Suspended,Unknown,Rill,None,Granite,Translational,VI,0,0,0,16/07/2022,11:57:48,Concave,Dense,Forest,Residual,"Failures scarp, Erosion",Advance,Natural,Dry,"Rain, Water seeps",None,None,None,"Steepness of slope, Intense weathering, Human activity, Vibration from the vehicle, Low shear strength, Load at head, Rainfall"
33,Placemark 155,Landslides,Forest,Forest Area,771752.4538,488282.1487,Pahang,Cameron Highlands,2022,Field Work (2022),Young-dormant landslide,Suspended,Unknown,Rill,None,Granite,Translational,VI,0,0,0,16/07/2022,12:01:51,Concave,Dense,Forest,Residual,"Failures scarp, Erosion",Advance,Natural,Dry,"Rain, Water seeps",None,Commercial,None,"Steepness of slope, Intense weathering, Human activity, Vibration from the vehicle, Low shear strength, Load at head, Rainfall"
34,Placemark 156,Landslides,Forest,Roadside,772121.0608,487587.4812,Pahang,Cameron Highlands,2022,Field Work (2022),New landslide,Suspended,Sandy clay,Rill,"Sand, Clay",Granite,Translational,V,10.3,9.8,14.3,16/07/2022,12:07:55,Concave,Dense,Forest,Residual,"Failures scarp, Erosion",Advance,Natural,Dry,"Rain, Water seeps",Well drained,Roads,Plastic sheet cover,"Steepness of slope, Intense weathering, Human activity, Vibration from the vehicle, Low shear strength, Load at head, Rainfall"
35,Placemark 157,Landslides,Urban,Roadside,772074.4281,487581.5439,Pahang,Cameron Highlands,2022,Field Work (2022),Young-dormant landslide,Suspended,Sandy clay,Rill,"Sand, Clay",Granite,Translational,VI,7.2,6.3,9.6,16/07/2022,12:32:03,Convex,Dense,Forest,Residual,"Failures scarp, Erosion",Intermediate,Natural,Dry,"Rain, Water seeps",Well drained,Roads,None,"Steepness of slope, Intense weathering, Human activity, Vibration from the vehicle, Low shear strength, Load at head, Rainfall"
36,Placemark 158,Landslides,Urban,Roadside,772309.9338,487353.2468,Pahang,Cameron Highlands,2022,Field Work (2022),New landslide,Suspended,Clay loam,Rill,"Clay, Sand",Granite,Fall,VI,20.4,10.9,23.2,16/07/2022,13:03:34,Convex,Dense,Forest,Residual,"Failures scarp, Erosion",Advance,Development,Dry,"Rain, Water seeps",Well drained,Commercial,None,"Steepness of slope, Intense weathering, Human activity, Vibration from the vehicle, Low shear strength, Load at head, Rainfall"
37,Placemark 16,Landslides,Urban,Sungai Ubi Native Village,761793.0434,493062.3621,Pahang,Cameron Highlands,2022,Field Work (2022),New landslide,Suspended,Clay loam,Sheet,"Clay, Sand",Granite,Translational,VI,0,0,0,07/07/2022,15:10:51,Concave,Sparse,Forest,Residual,"Failures scarp, Erosion",Advance,Natural,Dry,"Rain, Water seeps, Drainage",None,Offroads,None,"Steepness of slope, Intense weathering, Human activity, Vibration from the vehicle, Low shear strength, Load at head, Rainfall"
38,Placemark 160,Landslides,Urban,Development Area,772389.6239,487278.4247,Pahang,Cameron Highlands,2022,Field Work (2022),New landslide,Suspended,Light clay,Rill,"Clay, Sand",Granite,Translational,VI,0,0,0,16/07/2022,13:17:31,Convex,Moderate,Forest,Residual,"Failures scarp, Erosion",Advance,Natural,Dry,"Rain, Water seeps",None,Commercial,None,"Steepness of slope, Intense weathering, Human activity, Vibration from the vehicle, Low shear strength, Load at head, Rainfall"
39,Placemark 161,Landslides,Agriculture,Agricultural Area,772552.4699,486828.1855,Pahang,Cameron Highlands,2022,Field Work (2022),Young-dormant landslide,Suspended,Clay loam,Rill,"Clay, Sand",Granite,Translational,VI,11.7,10.5,15.8,16/07/2022,13:29:08,Convex,Dense,Forest,Residual,"Failures scarp, Erosion",Intermediate,Natural,Dry,"Rain, Water seeps",None,None,None,"Steepness of slope, Intense weathering, Human activity, Vibration from the vehicle, Low shear strength, Load at head, Rainfall"
40,Placemark 162,Landslides,Urban,Open Area,773102.9871,487233.8367,Pahang,Cameron Highlands,2022,Field Work (2022),New landslide,Suspended,Clay loam,Gully,"Clay, Sand",Granite,Flow,VI,116.7,231,259,16/07/2022,14:05:54,Concave,Moderate,Forest,Residual,"Failures scarp, Erosion",Advance,Natural,Dry,"Rain, Water seeps",None,Commercial,Plastic sheet cover,"Steepness of slope, Intense weathering, Human activity, Vibration from the vehicle, Low shear strength, Load at head, Rainfall"
41,Placemark 163,Landslides,Forest,Forest Area,773085.0085,487264.8014,Pahang,Cameron Highlands,2022,Field Work (2022),Young-dormant landslide,Suspended,Clay loam,Rill,"Clay, Sand",Granite,Translational,VI,10.6,8.2,13.5,16/07/2022,14:11:25,Concave,Dense,Forest,Residual,"Failures scarp, Erosion",Advance,Natural,Dry,"Rain, Water seeps",None,Offroads,None,"Steepness of slope, Intense weathering, Human activity, Vibration from the vehicle, Low shear strength, Load at head, Rainfall"
42,Placemark 165,Landslides,Agriculture,Agricultural Area,773377.16,487691.643,Pahang,Cameron Highlands,2022,Field Work (2022),Mature-dormant landslide,Dormant,Clay loam,Rill,"Clay, Sand",Granite,Translational,VI,0,0,0,16/07/2022,14:23:11,Convex,Dense,Forest,Residual,"Failures scarp, Erosion",Intermediate,Development,Dry,"Rain, Water seeps",None,Commercial,None,"Steepness of slope, Intense weathering, Human activity, Vibration from the vehicle, Low shear strength, Load at head, Rainfall"
43,Placemark 166,Landslides,Forest,Off Road,773414.6418,487500.6462,Pahang,Cameron Highlands,2022,Field Work (2022),New landslide,Suspended,Light clay,Rill,"Clay, Sand",Granite,Translational,V,8.7,6,10.6,16/07/2022,14:26:58,Concave,Moderate,Forest,Residual,"Failures scarp, Erosion",Advance,Natural,Dry,"Rain, Water seeps",None,Roads,None,"Steepness of slope, Intense weathering, Human activity, Vibration from the vehicle, Low shear strength, Load at head, Rainfall"
44,Placemark 167,Landslides,Forest,Off Road,773530.6389,487607.9784,Pahang,Cameron Highlands,2022,Field Work (2022),Young-dormant landslide,Suspended,Sandy clay,Rill,"Sand, Clay",Granite,Translational,VI,3.8,3.6,5.3,16/07/2022,14:34:23,Convex,Dense,Forest,Residual,"Failures scarp, Erosion",Intermediate,Natural,Dry,"Rain, Water seeps",None,Roads,None,"Steepness of slope, Intense weathering, Human activity, Vibration from the vehicle, Low shear strength, Load at head, Rainfall"
45,Placemark 168,Landslides,Forest,Off Road,773606.7261,487654.233,Pahang,Cameron Highlands,2022,Field Work (2022),New landslide,Suspended,Light clay,Rill,"Clay, Sand",Granite,Translational,VI,9.3,8.7,13.7,16/07/2022,14:38:34,Concave,Dense,Forest,Residual,"Failures scarp, Erosion",Advance,Natural,Dry,"Rain, Water seeps",None,Roads,Plastic sheet cover,"Steepness of slope, Intense weathering, Human activity, Vibration from the vehicle, Low shear strength, Load at head, Rainfall"
46,Placemark 169,Landslides,Forest,Off Road,773661.9753,487790.1188,Pahang,Cameron Highlands,2022,Field Work (2022),Young-dormant landslide,Suspended,Clay loam,Rill,"Clay, Sand",Granite,Translational,VI,11.3,11.7,16.3,16/07/2022,14:45:44,Convex,Dense,Forest,Residual,"Failures scarp, Erosion",Advance,Natural,Dry,"Rain, Water seeps",None,Offroads,None,"Steepness of slope, Intense weathering, Human activity, Vibration from the vehicle, Low shear strength, Load at head, Rainfall"
47,Placemark 17,Landslides,Forest,Roadside,762995.8494,492762.6022,Pahang,Cameron Highlands,2022,Field Work (2022),New landslide,Suspended,Clay loam,Sheet,"Clay, Silt",Contact (Granite & Schist),Fall,IV,6.3,5.6,8.5,07/07/2022,15:55:33,Convex,Dense,Forest,Residual,"Failures scarp, Erosion",Advance,Natural,Dry,"Rain, Water seeps",None,Roads,None,"Steepness of slope, Intense weathering, Human activity, Vibration from the vehicle, Low shear strength, Load at head, Toe cut by stream, Rainfall"
48,Placemark 170,Landslides,Urban,Off Road,773686.9504,487763.7498,Pahang,Cameron Highlands,2022,Field Work (2022),New landslide,Suspended,Clay loam,Rill,"Clay, Sand",Granite,Translational,VI,58.2,53.8,54,16/07/2022,15:03:25,Concave,Sparse,Forest,Residual,"Failures scarp, Erosion",Advance,Development,Dry,"Rain, Water seeps",None,Offroads,None,"Steepness of slope, Intense weathering, Human activity, Vibration from the vehicle, Low shear strength, Load at head, Rainfall"
49,Placemark 171,Landslides,Forest,Off Road,773686.2526,487794.7277,Pahang,Cameron Highlands,2022,Field Work (2022),New landslide,Suspended,Clay loam,Rill,"Clay, Sand",Granite,Translational,VI,63.9,57.5,109.9,16/07/2022,15:07:48,Concave,Dense,Forest,Residual,"Failures scarp, Erosion",Advance,Development,Dry,"Rain, Water seeps",None,Offroads,None,"Steepness of slope, Intense weathering, Human activity, Vibration from the vehicle, Low shear strength, Load at head, Rainfall"
50,Placemark 172,Landslides,Urban,Off Road,773556.4267,487436.2636,Pahang,Cameron Highlands,2022,Field Work (2022),Mature-dormant landslide,Dormant,Sandy clay,Rill,"Sand, Clay",Granite,Translational,VI,13.7,11.8,18.2,16/07/2022,15:14:49,Convex,Dense,Forest,Residual,"Failures scarp, Erosion",Intermediate,Development,Dry,"Rain, Water seeps",None,Offroads,None,"Steepness of slope, Intense weathering, Human activity, Vibration from the vehicle, Low shear strength, Load at head, Rainfall"
51,Placemark 174,Landslides,Forest,Off Road,773866.4208,487104.8973,Pahang,Cameron Highlands,2022,Field Work (2022),New landslide,Stabilised,Clay loam,Rill,"Clay, Sand",Granite,Translational,VI,13.1,19.4,23.5,16/07/2022,15:30:31,Convex,Dense,Forest,Residual,"Failures scarp, Erosion",Advance,Under construction,Dry,"Rain, Water seeps",None,Offroads,Plastic sheet cover,"Steepness of slope, Intense weathering, Human activity, Vibration from the vehicle, Low shear strength, Load at head, Rainfall"
52,Placemark 175,Landslides,Urban,Off Road,773683.1159,487634.5486,Pahang,Cameron Highlands,2022,Field Work (2022),Young-dormant landslide,Suspended,Clay loam,Rill,"Clay, Sand",Granite,Translational,VI,23.2,17.9,29.2,16/07/2022,15:44:15,Convex,Moderate,Forest,Residual,"Failures scarp, Erosion",Advance,Natural,Dry,"Rain, Water seeps",None,Commercial,Plastic sheet cover,"Steepness of slope, Intense weathering, Human activity, Vibration from the vehicle, Low shear strength, Load at head, Rainfall"
53,Placemark 177,Landslides,Urban,Roadside,784058.7076,490750.8575,Pahang,Cameron Highlands,2022,Field Work (2022),New landslide,Suspended,Unknown,Rill,None,Granite,Translational,VI,0,0,0,18/07/2022,13:39:54,Concave,Sparse,Forest,Residual,"Failures scarp, Erosion",Advance,Natural,Dry,"Rain, Water seeps",Well drained,Roads,None,"Steepness of slope, Intense weathering, Human activity, Vibration from the vehicle, Low shear strength, Load at head, Rainfall"
54,Placemark 178,Landslides,Urban,Roadside,783105.5045,490893.2447,Pahang,Cameron Highlands,2022,Field Work (2022),New landslide,Suspended,Unknown,Rill,None,Granite,Translational,VI,0,0,0,18/07/2022,13:44:48,Concave,Moderate,Forest,Residual,"Failures scarp, Erosion",Advance,Natural,Dry,"Rain, Water seeps",None,None,None,"Steepness of slope, Intense weathering, Human activity, Vibration from the vehicle, Low shear strength, Load at head, Rainfall"
55,Placemark 185,Landslides,Urban,Roadside,788051.0757,489981.6477,Pahang,Cameron Highlands,2022,Field Work (2022),New landslide,Stabilised,Clay loam,Rill,"Clay, Sand",Granite,Translational,VI,24.2,20.9,28.2,18/07/2022,14:42:02,Concave,Moderate,Forest,Residual,"Failures scarp, Erosion",Advance,Development,Dry,"Rain, Water seeps",Well drained,Roads,Plastic sheet cover,"Steepness of slope, Intense weathering, Human activity, Vibration from the vehicle, Low shear strength, Load at head, Rainfall"
56,Placemark 189,Landslides,Urban,Roadside,787401.6352,491300.0991,Pahang,Cameron Highlands,2022,Field Work (2022),New landslide,Stabilised,Clay loam,Rill,"Clay, Sand",Granite,Translational,VI,25,21.9,26,18/07/2022,14:52:57,Concave,Dense,Forest,Residual,"Failures scarp, Erosion",Advance,Development,Dry,"Rain, Water seeps",Well drained,Roads,Plastic sheet cover,"Steepness of slope, Intense weathering, Human activity, Vibration from the vehicle, Low shear strength, Load at head, Rainfall"
